"PointID"	"x"	"y"	"Adjoint_Density"	"Adjoint_Momentum_x"	"Adjoint_Momentum_y"	"Adjoint_Energy"	"Surface_Sensitivity"	"Limiter_Adjoint_Density"
0	9.997500181200000e-01	-3.632896519016437e-05	5.690971045662793e-11	-3.145976514649414e-13	-3.271700131852606e-13	3.360402620904973e-16	1.005636248699957e+02	0.000000000000000e+00	
1	9.990000128750000e-01	-1.452537504052920e-04	4.641995921637837e-11	-2.472696084044372e-13	-2.957636862962029e-13	2.494640282195434e-16	5.532602355997483e+01	0.000000000000000e+00	
2	9.977599978450000e-01	-3.251111630156300e-04	3.755909489089082e-11	-1.954959394181005e-13	-2.321622850093810e-13	1.878240558223067e-16	2.881357398018582e+01	0.000000000000000e+00	
3	9.960200190539999e-01	-5.769983605901485e-04	3.382108230256390e-11	-1.733526335502284e-13	-1.986388435864081e-13	1.642868530246894e-16	1.797278853730817e+01	0.000000000000000e+00	
4	9.937800168990000e-01	-9.004365425509819e-04	2.916425467073666e-11	-1.476718545074514e-13	-1.626706536445445e-13	1.366565222906873e-16	1.246362168033800e+01	0.000000000000000e+00	
5	9.910500049590000e-01	-1.293363843462116e-03	2.565570213566608e-11	-1.289614670149498e-13	-1.332581675376457e-13	1.143293334355459e-16	9.237272198315731e+00	0.000000000000000e+00	
6	9.878399968150000e-01	-1.753609743384430e-03	2.257293647032464e-11	-1.123922270364974e-13	-1.081438570532533e-13	9.418809519019619e-17	7.229545804983188e+00	0.000000000000000e+00	
7	9.841300249100000e-01	-2.283176811071472e-03	2.059397497792143e-11	-1.017043933356269e-13	-9.071640992270707e-14	8.024209109798297e-17	5.859056399241269e+00	0.000000000000000e+00	
8	9.799500107769999e-01	-2.876826092032643e-03	1.868020980850735e-11	-9.137467592339763e-14	-7.503535620172322e-14	6.663055296692352e-17	4.889413821462997e+00	0.000000000000000e+00	
9	9.752799868580000e-01	-3.536324145770189e-03	1.734061794498192e-11	-8.413968885161179e-14	-6.308160461377425e-14	5.623567316782538e-17	4.169243400058331e+00	0.000000000000000e+00	
10	9.701499938960000e-01	-4.256268552403566e-03	1.619559607486628e-11	-7.778608482424408e-14	-5.261420882905442e-14	4.680818002654487e-17	3.618307961943831e+00	0.000000000000000e+00	
11	9.645400047300000e-01	-5.038225493362627e-03	1.536308290317323e-11	-7.319840940224244e-14	-4.413718136709430e-14	3.914992000337196e-17	3.185966999300197e+00	0.000000000000000e+00	
12	9.584699869160000e-01	-5.878077433056352e-03	1.462595534911278e-11	-6.900219582310868e-14	-3.646758955352165e-14	3.196651327550648e-17	2.837992772010542e+00	0.000000000000000e+00	
13	9.519400000570000e-01	-6.774428848839826e-03	1.414544131311361e-11	-6.615069520869117e-14	-3.014846330676302e-14	2.608855434029854e-17	2.555849697496509e+00	0.000000000000000e+00	
14	9.449599981310000e-01	-7.724467125531491e-03	1.376805937433180e-11	-6.368011310844704e-14	-2.458392283704738e-14	2.074357279414013e-17	2.319736426471389e+00	0.000000000000000e+00	
15	9.375399947170000e-01	-8.725349486403867e-03	1.356679967436259e-11	-6.218084445114745e-14	-1.996603140782754e-14	1.639462304084703e-17	2.123059553485091e+00	0.000000000000000e+00	
16	9.296900033950000e-01	-9.774221272349531e-03	1.325323763412011e-11	-6.013112578041637e-14	-1.545325225969598e-14	1.179116821854244e-17	1.955403176276079e+00	0.000000000000000e+00	
17	9.214000105860000e-01	-1.087086069705918e-02	1.291388571668062e-11	-5.813769995195875e-14	-1.097440070894737e-14	7.310188864106572e-18	1.812119305444956e+00	0.000000000000000e+00	
18	9.126999974250000e-01	-1.200973104171110e-02	1.250644567005263e-11	-5.580988164422775e-14	-6.355154178800634e-15	2.607552002542959e-18	1.688105800108701e+00	0.000000000000000e+00	
19	9.035800099370001e-01	-1.319055953446835e-02	1.225127511194376e-11	-5.417485622073389e-14	-2.212023115527290e-15	-1.527520137502993e-18	1.579950996113829e+00	0.000000000000000e+00	
20	8.940600156780000e-01	-1.440916392228702e-02	1.184545406999782e-11	-5.191720111337963e-14	2.320781479354770e-15	-6.263191753723281e-18	1.484752776022634e+00	0.000000000000000e+00	
21	8.841500282290000e-01	-1.566269158090452e-02	1.141089519542178e-11	-4.945981827126015e-14	7.259409045478179e-15	-1.173533829786706e-17	1.401413920353513e+00	0.000000000000000e+00	
22	8.738499879840000e-01	-1.694956337677533e-02	1.058879116105488e-11	-4.570824181525950e-14	1.497656952028951e-14	-1.949690511373941e-17	1.328604511910799e+00	0.000000000000000e+00	
23	8.631799817090000e-01	-1.826569132102762e-02	1.081715946642882e-11	-4.596076676389984e-14	1.801180746753604e-14	-2.227797216868150e-17	1.265122773721801e+00	0.000000000000000e+00	
24	8.521599769590000e-01	-1.960709133914372e-02	1.017366770846745e-11	-4.289922676741161e-14	2.354685503201746e-14	-2.850869872935496e-17	1.209327943222052e+00	0.000000000000000e+00	
25	8.407700061800000e-01	-2.097463226217677e-02	9.857640357250007e-12	-4.114410594828516e-14	2.871832992134092e-14	-3.369976466929662e-17	1.160047837078002e+00	0.000000000000000e+00	
26	8.290500044819999e-01	-2.236196298315981e-02	9.601594545026262e-12	-3.964677863473454e-14	3.358313089377334e-14	-3.874434253341817e-17	1.117575379772160e+00	0.000000000000000e+00	
27	8.170099854470000e-01	-2.376642068849115e-02	9.300420135752012e-12	-3.792033616510544e-14	3.836894785736372e-14	-4.391139681963490e-17	1.078891072389407e+00	0.000000000000000e+00	
28	8.046399950980000e-01	-2.518763605296113e-02	8.761710615569605e-12	-3.530918246024647e-14	4.403491730165619e-14	-5.015154968757693e-17	1.043527036318785e+00	0.000000000000000e+00	
29	7.919700145720000e-01	-2.662062628442961e-02	8.316542513968823e-12	-3.304211754135237e-14	4.971684195374278e-14	-5.615402577722868e-17	1.011952130717726e+00	0.000000000000000e+00	
30	7.790099978450000e-01	-2.806276676215449e-02	7.784638647438537e-12	-3.047200052672144e-14	5.576644579349614e-14	-6.267998558850189e-17	9.852878818934414e-01	0.000000000000000e+00	
31	7.657799720760000e-01	-2.951033727360171e-02	7.290064853925588e-12	-2.801337042882059e-14	6.179655127336065e-14	-6.913175475418525e-17	9.647742190331756e-01	0.000000000000000e+00	
32	7.522799968720000e-01	-3.096181144522562e-02	6.623332426419331e-12	-2.490762381227182e-14	6.842989555514159e-14	-7.643030133010004e-17	9.496837601216047e-01	0.000000000000000e+00	
33	7.385200262070000e-01	-3.241453277608040e-02	6.014029612243842e-12	-2.199302293814005e-14	7.517480213987487e-14	-8.369259501821683e-17	9.367457496517058e-01	0.000000000000000e+00	
34	7.245299816130000e-01	-3.386376679305321e-02	5.198901784056572e-12	-1.831233352689665e-14	8.257879932895978e-14	-9.189035592568057e-17	9.246657478809207e-01	0.000000000000000e+00	
35	7.103199958800001e-01	-3.530689307158652e-02	4.420210971936996e-12	-1.474095805788265e-14	9.016251072029494e-14	-1.001104180683351e-16	9.144912340893415e-01	0.000000000000000e+00	
36	6.958900094030001e-01	-3.674225211597043e-02	3.344782833035107e-12	-1.004014758353992e-14	9.876793392011888e-14	-1.097448940872745e-16	9.071241641563581e-01	0.000000000000000e+00	
37	6.812700033190000e-01	-3.816515293304169e-02	2.362022104342204e-12	-5.658829891205823e-15	1.074996191269445e-13	-1.192531126296492e-16	9.032242197438748e-01	0.000000000000000e+00	
38	6.664699912070000e-01	-3.957289370556494e-02	1.213614956578408e-12	-6.541214241062721e-16	1.167340211784797e-13	-1.295617666867737e-16	9.024534582535774e-01	0.000000000000000e+00	
39	6.514999866490000e-01	-4.096270419333766e-02	4.509108618314602e-14	4.467671072224417e-15	1.263855264717667e-13	-1.402188182529243e-16	9.038314218846561e-01	0.000000000000000e+00	
40	6.363800168040000e-01	-4.233084266562091e-02	-1.535983036618999e-12	1.113897342450060e-14	1.371735066597230e-13	-1.525461965633911e-16	9.081376981375880e-01	0.000000000000000e+00	
41	6.211299896240000e-01	-4.367359094194759e-02	-2.868352093537819e-12	1.692786973718741e-14	1.481260696208904e-13	-1.644581742065215e-16	9.149906777159365e-01	0.000000000000000e+00	
42	6.057599782940000e-01	-4.498807223669178e-02	-3.839136276183835e-12	2.140112487719704e-14	1.576513052245617e-13	-1.750177685911394e-16	9.236612600266142e-01	0.000000000000000e+00	
43	5.902799963950000e-01	-4.627132533375768e-02	-5.351803179423037e-12	2.794730077290880e-14	1.683554505116031e-13	-1.876050131442013e-16	9.336696059901523e-01	0.000000000000000e+00	
44	5.747100114820000e-01	-4.751950934859488e-02	-7.915856526375934e-12	3.835274659575768e-14	1.819993982333957e-13	-2.040736670823385e-16	9.444589400617481e-01	0.000000000000000e+00	
45	5.590599775310000e-01	-4.872955796694115e-02	-1.040025870783325e-11	4.849960299294540e-14	1.971454612771234e-13	-2.210930974957362e-16	9.561720714707928e-01	0.000000000000000e+00	
46	5.433599948880000e-01	-4.989683951066199e-02	-1.303978372171664e-11	5.924598610643541e-14	2.122833106622732e-13	-2.386803377607511e-16	9.675191753180502e-01	0.000000000000000e+00	
47	5.276100039480000e-01	-5.101897737545535e-02	-1.633580819510551e-11	7.245837924360989e-14	2.297778803192017e-13	-2.591415236935784e-16	9.739076688663278e-01	0.000000000000000e+00	
48	5.118399858470000e-01	-5.209138375948307e-02	-1.939849855599201e-11	8.482142766905890e-14	2.466342590463364e-13	-2.786261634480849e-16	9.739817042370890e-01	0.000000000000000e+00	
49	4.960500001910000e-01	-5.311153541819326e-02	-2.248654380483626e-11	9.734035125501610e-14	2.632847925801602e-13	-2.980876468787609e-16	9.810372813548485e-01	0.000000000000000e+00	
