"PointID"	"x"	"y"	"Density"	"Momentum_x"	"Momentum_y"	"Energy"	"Pressure"	"Temperature"	"Mach"	"Pressure_Coefficient"
0	9.997500181200000e-01	-3.632896519016437e-05	1.474602009574399e+00	2.613255576050723e+02	3.487912979151881e+01	3.507022389774174e+05	1.308535924540782e+05	3.091300144161424e+02	5.072498126102793e-01	6.505012260335872e-01	
1	9.990000128750000e-01	-1.452537504052920e-04	1.427452320561551e+00	2.704922371597049e+02	3.875618594122430e+01	3.404428886398394e+05	1.257154270693794e+05	3.068013804676610e+02	5.451655661198826e-01	5.373098205337173e-01	
2	9.977599978450000e-01	-3.251111630156300e-04	1.408313936859412e+00	2.797201150259614e+02	4.029427955598470e+01	3.366075495116317e+05	1.233008084376077e+05	3.049978600844237e+02	5.731745390929683e-01	4.841168895528822e-01	
3	9.960200190539999e-01	-5.769983605901485e-04	1.392306822988807e+00	2.860666311993809e+02	4.120072672537952e+01	3.333428520126386e+05	1.213381164536343e+05	3.035936216136747e+02	5.942857642944966e-01	4.408796934729641e-01	
4	9.937800168990000e-01	-9.004365425509819e-04	1.379028875905315e+00	2.908846854753292e+02	4.186076486487509e+01	3.306217802422632e+05	1.197230535863168e+05	3.024368947885358e+02	6.112690055119858e-01	4.053006059514284e-01	
5	9.910500049590000e-01	-1.293363843462116e-03	1.367792661760042e+00	2.949273220865739e+02	4.232473375056401e+01	3.283257225322377e+05	1.183497385417466e+05	3.014236876388233e+02	6.258696441823139e-01	3.750471110849669e-01	
6	9.878399968150000e-01	-1.753609743384430e-03	1.357587505613269e+00	2.982641289891785e+02	4.263865098328592e+01	3.262260385870713e+05	1.171167588824518e+05	3.005256589335821e+02	6.386112202740973e-01	3.478851398093970e-01	
7	9.841300249100000e-01	-2.283176811071472e-03	1.348293628575963e+00	3.012127512589137e+02	4.286358896827273e+01	3.243133034498398e+05	1.159944237744979e+05	2.996973997073368e+02	6.502073772520913e-01	3.231606167939505e-01	
8	9.799500107769999e-01	-2.876826092032643e-03	1.339639699812846e+00	3.038244696278343e+02	4.301036506609518e+01	3.225278817304576e+05	1.149537610127773e+05	2.989272597408233e+02	6.608634978762129e-01	3.002352977683479e-01	
9	9.752799868580000e-01	-3.536324145770189e-03	1.331526379667024e+00	3.061903385767408e+02	4.309193339972225e+01	3.208521291491128e+05	1.139799738547646e+05	2.982010191515793e+02	6.708064058626967e-01	2.787832173426341e-01	
10	9.701499938960000e-01	-4.256268552403566e-03	1.323839817065003e+00	3.083481017292148e+02	4.311528965626241e+01	3.192620169408716e+05	1.130599111035372e+05	2.975113548772462e+02	6.801579922044633e-01	2.585146607349316e-01	
11	9.645400047300000e-01	-5.038225493362627e-03	1.316505226796884e+00	3.103352868002913e+02	4.308845329657205e+01	3.177425737619392e+05	1.121841217482681e+05	2.968514331483400e+02	6.890273388189649e-01	2.392214265506178e-01	
12	9.584699869160000e-01	-5.878077433056352e-03	1.309474471043283e+00	3.121809863916056e+02	4.301538925242790e+01	3.162844203718611e+05	1.113462648223369e+05	2.962163063462039e+02	6.974935683366511e-01	2.207638262296196e-01	
13	9.519400000570000e-01	-6.774428848839826e-03	1.302700218288400e+00	3.138995228595150e+02	4.290011104706449e+01	3.148774877911119e+05	1.105409524112764e+05	2.956031526031829e+02	7.056044391650783e-01	2.030231665097378e-01	
